1
30000 30000
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
I 0 90
